"SaleDate"%"ItemDetails"%"BrandTier"%"SellerRating"%"DaysListed"%"ShippingMethod"%"DiscountApplied"%"FinalPrice"
"2023//06//28"%"Dress_VeryGood"%"Low"%4,26%15%"Economy"%"No"%"80.67 USD"
"2023//08//30"%"Shoes_VeryGood"%"Mid"%4,33%31%"Economy"%"No"%"141.64 USD"
"2023//11//13"%"Shoes_VeryGood"%"Premium"%4,81%4%"Economy"%"Yes"%"126.66 USD"
"2023//05//05"%"Shoes_VeryGood"%"Low"%4,28%13%"Standard"%"No"%"69.63 USD"
"2023//02//23"%"Jacket_New"%"Premium"%4,36%3%"Economy"%"No"%"214.14 USD"
"2023//07//13"%"Jacket_VeryGood"%"Low"%3,99%10%"Economy"%"No"%"108.02 USD"
"2023//06//10"%"Shoes_VeryGood"%"Mid"%3,79%10%"Standard"%"Yes"%"98.81 USD"
"2023//10//04"%"Jacket_New"%"Low"%4%14%"Economy"%"No"%"110.3 USD"
"2023//05//27"%"Shoes_Good"%"Mid"%4,7%17%"Standard"%"No"%"96.83 USD"
"2023//02//14"%"Shoes_VeryGood"%"Mid"%4,04%6%"Standard"%"No"%"153.8 USD"
"2023//05//14"%"Accessories_Fair"%"Low"%4,46%30%"Standard"%"No"%"62.78 USD"
"2023//07//14"%"Jacket_Good"%"Low"%4,67%4%"Economy"%"No"%"94.52 USD"
"2023//03//31"%"Accessories_Good"%"Low"%3,67%14%"Standard"%"No"%"33.7 USD"
"2023//06//13"%"Jacket_VeryGood"%"Low"%3,88%3%"Express"%"Yes"%"115.87 USD"
"2023//03//15"%"Shoes_Good"%"Mid"%3,96%5%"Express"%"Yes"%"108.36 USD"
"2023//11//19"%"Dress_Good"%"Mid"%3,96%13%"Standard"%"No"%"107.36 USD"
"2023//09//17"%"Shoes_Good"%"Low"%4,9%6%"Standard"%"No"%"115.44 USD"
"2023//10//21"%"Dress_Good"%"Low"%4,23%9%"Express"%"No"%"76.91 USD"
"2023//03//20"%"Dress_Fair"%"Low"%4,91%7%"Economy"%"Yes"%"30.12 USD"
"2023//09//03"%"Jacket_Fair"%"Mid"%3,89%9%"Economy"%"Yes"%"86.21 USD"
"2023//09//01"%"Jacket_VeryGood"%"Low"%3,7%4%"Economy"%"No"%"99.19 USD"
"2023//01//13"%"Jacket_New"%"Mid"%4,57%6%"Economy"%"No"%"175.59 USD"
"2023//11//15"%"Jacket_VeryGood"%"Mid"%4,71%9%"Standard"%"No"%"160.95 USD"
"2023//04//05"%"Dress_VeryGood"%"Low"%3,79%5%"Standard"%"No"%"94.49 USD"
"2023//11//22"%"Accessories_Good"%"Mid"%4,07%17%"Economy"%"Yes"%"19.84 USD"
"2023//11//18"%"Shoes_VeryGood"%"Premium"%5%16%"Economy"%"Yes"%"151.79 USD"
"2023//06//07"%"Jacket_Good"%"Low"%4,18%22%"Standard"%"No"%"92.57 USD"
"2023//05//20"%"Jacket_New"%"Premium"%4,5%6%"Economy"%"No"%"207.24 USD"
"2023//12//12"%"Shoes_New"%"Low"%4,27%4%"Economy"%"No"%"127.91 USD"
"2023//09//07"%"Shoes_Good"%"Low"%3,49%9%"Standard"%"No"%"59.94 USD"
"2023//10//24"%"Dress_Good"%"Low"%4,34%41%"Standard"%"No"%"82.69 USD"
"2023//05//08"%"Accessories_VeryGood"%"Low"%3,7%8%"Standard"%"No"%"64.61 USD"
"2023//08//21"%"Shoes_VeryGood"%"Premium"%4,16%11%"Economy"%"Yes"%"139.58 USD"
"2023//07//06"%"Jacket_New"%"Low"%4,6%17%"Standard"%"No"%"118.96 USD"
"2023//10//27"%"Shoes_Good"%"Low"%4,24%8%"Standard"%"No"%"108.93 USD"
"2023//04//12"%"Dress_Good"%"Premium"%4,67%6%"Economy"%"No"%"129.24 USD"
"2023//07//07"%"Jacket_VeryGood"%"Mid"%4,56%27%"Standard"%"No"%"138.59 USD"
"2023//06//20"%"Jacket_VeryGood"%"Low"%4,13%8%"Standard"%"No"%"110.98 USD"
"2023//04//25"%"Shoes_VeryGood"%"Mid"%4,88%22%"Standard"%"No"%"152.22 USD"
"2023//04//20"%"Accessories_VeryGood"%"Low"%4,27%8%"Standard"%"Yes"%"54.42 USD"
"2023//07//03"%"Shoes_Fair"%"Low"%4,08%12%"Standard"%"No"%"79.33 USD"
"2023//11//28"%"Shoes_New"%"Mid"%4,09%16%"Economy"%"No"%"93.69 USD"
"2023//11//17"%"Dress_Good"%"Low"%4,88%15%"Standard"%"No"%"51.61 USD"
"2023//06//27"%"Shoes_New"%"Premium"%4,82%10%"Standard"%"No"%"205.14 USD"
"2023//02//08"%"Dress_Good"%"Low"%4,42%13%"Economy"%"No"%"74.37 USD"
"2023//06//05"%"Dress_VeryGood"%"Low"%4,57%14%"Standard"%"Yes"%"50.83 USD"
"2023//11//21"%"Shoes_Fair"%"Low"%4,52%5%"Economy"%"No"%"99.95 USD"
"2023//07//01"%"Accessories_New"%"Premium"%3,87%54%"Standard"%"No"%"70.22 USD"
"2023//01//21"%"Jacket_Good"%"Low"%4,92%5%"Economy"%"No"%"107.8 USD"
"2023//07//16"%"Accessories_VeryGood"%"Mid"%5%11%"Standard"%"No"%"48.55 USD"
"2023//01//12"%"Shoes_VeryGood"%"Low"%4,36%17%"Express"%"No"%"110.4 USD"
"2023//02//05"%"Jacket_Good"%"Low"%3,77%16%"Economy"%"No"%"104.05 USD"
"2023//12//15"%"Dress_Fair"%"Low"%4,45%9%"Express"%"No"%"60.98 USD"
"2023//08//20"%"Dress_Good"%"Mid"%4,66%10%"Economy"%"Yes"%"63.47 USD"
"2023//05//09"%"Jacket_Fair"%"Low"%4,67%13%"Express"%"Yes"%"50.75 USD"
"2023//06//03"%"Jacket_New"%"Low"%4,76%6%"Economy"%"No"%"132.67 USD"
"2023//11//04"%"Accessories_Good"%"Mid"%4,77%3%"Economy"%"Yes"%"16.56 USD"
"2023//03//20"%"Shoes_Good"%"Mid"%4,62%6%"Standard"%"No"%"109.82 USD"
"2023//12//14"%"Accessories_New"%"Low"%4,73%13%"Standard"%"No"%"51.97 USD"
"2023//06//25"%"Shoes_Good"%"Mid"%4,13%12%"Economy"%"No"%"106.88 USD"
"2023//09//27"%"Accessories_Good"%"Mid"%4,52%26%"Standard"%"No"%"69.37 USD"
"2023//03//02"%"Jacket_VeryGood"%"Low"%4,42%10%"Standard"%"Yes"%"105.69 USD"
"2023//01//08"%"Dress_Fair"%"Low"%4,6%20%"Standard"%"No"%"73.49 USD"
"2023//12//13"%"Dress_Good"%"Low"%4,49%6%"Economy"%"No"%"77.4 USD"
"2023//10//01"%"Jacket_Fair"%"Mid"%4,7%8%"Standard"%"No"%"121.17 USD"
"2023//09//05"%"Shoes_VeryGood"%"Premium"%5%14%"Economy"%"Yes"%"125.61 USD"
"2023//01//15"%"Accessories_Good"%"Mid"%3,91%5%"Standard"%"No"%"42.72 USD"
"2023//11//07"%"Dress_Good"%"Low"%3,12%10%"Economy"%"No"%"53.53 USD"
"2023//08//01"%"Shoes_Good"%"Low"%4,1%6%"Standard"%"Yes"%"86.2 USD"
"2023//01//25"%"Jacket_Good"%"Premium"%5%8%"Standard"%"No"%"157.27 USD"
"2023//07//05"%"Accessories_Fair"%"Premium"%4,21%7%"Standard"%"No"%"46.54 USD"
"2023//07//22"%"Dress_New"%"Low"%4,37%7%"Express"%"Yes"%"128.67 USD"
"2023//01//01"%"Dress_Good"%"Mid"%4,69%3%"Economy"%"No"%"113.58 USD"
"2023//02//23"%"Dress_VeryGood"%"Low"%4,78%4%"Standard"%"No"%"81.06 USD"
"2023//07//24"%"Accessories_VeryGood"%"Mid"%4,23%8%"Economy"%"Yes"%"14.62 USD"
"2023//02//09"%"Shoes_Good"%"Mid"%4,73%14%"Express"%"No"%"111.19 USD"
"2023//11//24"%"Accessories_Good"%"Mid"%4,1%13%"Standard"%"Yes"%"56.77 USD"
"2023//10//01"%"Jacket_New"%"Low"%4,9%4%"Economy"%"No"%"130.9 USD"
"2023//08//04"%"Dress_New"%"Low"%4,2%13%"Economy"%"No"%"67.73 USD"
"2023//06//22"%"Accessories_VeryGood"%"Low"%4,33%11%"Express"%"Yes"%"78.67 USD"
"2023//12//01"%"Dress_VeryGood"%"Mid"%3,54%7%"Standard"%"No"%"52.89 USD"
"2023//12//26"%"Dress_VeryGood"%"Low"%4,11%9%"Standard"%"No"%"93.29 USD"
"2023//03//31"%"Dress_New"%"Mid"%3,71%13%"Economy"%"Yes"%"135.81 USD"
"2023//03//21"%"Accessories_Good"%"Mid"%5%7%"Standard"%"No"%"75.02 USD"
"2023//01//24"%"Jacket_Good"%"Low"%3,76%11%"Standard"%"No"%"96.52 USD"
"2023//04//22"%"Shoes_Good"%"Mid"%3,67%15%"Express"%"No"%"89.54 USD"
"2023//06//21"%"Jacket_New"%"Low"%3,41%17%"Economy"%"Yes"%"96.56 USD"
"2023//12//18"%"Dress_Good"%"Mid"%4,84%33%"Economy"%"No"%"35.27 USD"
"2023//12//02"%"Jacket_Good"%"Low"%4,19%16%"Standard"%"Yes"%"52.71 USD"
"2023//06//20"%"Jacket_VeryGood"%"Low"%4,25%16%"Standard"%"No"%"117.06 USD"
"2023//07//16"%"Shoes_Fair"%"Premium"%4,67%4%"Economy"%"No"%"110.32 USD"
"2023//05//12"%"Jacket_New"%"Low"%4,23%10%"Standard"%"No"%"106.69 USD"
"2023//06//03"%"Shoes_Good"%"Low"%4,46%9%"Standard"%"Yes"%"84.42 USD"
"2023//07//04"%"Shoes_Good"%"Low"%4,75%7%"Standard"%"No"%"96.89 USD"
"2023//03//19"%"Accessories_Good"%"Premium"%5%8%"Standard"%"No"%"65.61 USD"
"2023//06//07"%"Shoes_VeryGood"%"Low"%4,74%7%"Economy"%"No"%"112.93 USD"
"2023//02//25"%"Jacket_New"%"Low"%4,46%17%"Express"%"No"%"131.8 USD"
"2023//04//05"%"Shoes_VeryGood"%"Mid"%4,74%8%"Economy"%"Yes"%"120.1 USD"
"2023//06//29"%"Dress_Good"%"Low"%4,46%19%"Express"%"Yes"%"64.86 USD"
"2023//11//26"%"Shoes_VeryGood"%"Low"%4,26%6%"Standard"%"No"%"101.12 USD"
"2023//03//24"%"Dress_Good"%"Low"%4,33%16%"Economy"%"Yes"%"62.65 USD"
"2023//04//06"%"Dress_VeryGood"%"Low"%4,31%5%"Standard"%"No"%"76.68 USD"
"2023//05//13"%"Dress_VeryGood"%"Low"%5%33%"Standard"%"No"%"63.13 USD"
"2023//05//09"%"Jacket_Fair"%"Low"%4,99%15%"Economy"%"No"%"56.81 USD"
"2023//03//17"%"Shoes_Good"%"Low"%4,44%19%"Standard"%"No"%"95.94 USD"
"2023//05//26"%"Dress_Good"%"Low"%5%5%"Economy"%"No"%"104.25 USD"
"2023//05//14"%"Accessories_VeryGood"%"Mid"%4,53%5%"Economy"%"No"%"74.18 USD"
"2023//11//16"%"Dress_Fair"%"Low"%4,2%13%"Standard"%"No"%"70.31 USD"
"2023//07//26"%"Accessories_New"%"Low"%5%22%"Economy"%"Yes"%"41.79 USD"
"2023//12//17"%"Shoes_Good"%"Low"%4,92%4%"Economy"%"Yes"%"55.54 USD"
"2023//06//27"%"Accessories_Good"%"Mid"%4,31%22%"Standard"%"No"%"26.37 USD"
"2023//06//19"%"Shoes_Good"%"Low"%4,25%10%"Standard"%"Yes"%"53.26 USD"
"2023//12//16"%"Shoes_Good"%"Mid"%4,51%29%"Standard"%"No"%"53.58 USD"
"2023//01//29"%"Dress_Good"%"Premium"%3,69%7%"Economy"%"Yes"%"68.11 USD"
"2023//01//06"%"Accessories_VeryGood"%"Low"%4,81%9%"Standard"%"No"%"49.54 USD"
"2023//08//20"%"Jacket_New"%"Low"%4,28%22%"Economy"%"Yes"%"93.11 USD"
"2023//11//11"%"Jacket_VeryGood"%"Low"%4,3%33%"Economy"%"No"%"142.68 USD"
"2023//10//08"%"Jacket_Good"%"Low"%4,41%16%"Standard"%"No"%"67.13 USD"
"2023//04//15"%"Dress_Good"%"Premium"%3,9%16%"Standard"%"No"%"110.45 USD"
"2023//09//28"%"Shoes_VeryGood"%"Mid"%5%5%"Standard"%"No"%"157.86 USD"
"2023//03//13"%"Accessories_Good"%"Low"%4,46%13%"Economy"%"No"%"49.48 USD"
"2023//10//05"%"Jacket_Fair"%"Mid"%4,62%9%"Standard"%"No"%"86.27 USD"
"2023//08//02"%"Dress_VeryGood"%"Premium"%5%17%"Standard"%"Yes"%"124.6 USD"
"2023//11//12"%"Jacket_Good"%"Premium"%4,22%8%"Standard"%"Yes"%"128.69 USD"
"2023//02//19"%"Shoes_Fair"%"Mid"%3,98%7%"Economy"%"No"%"84.99 USD"
"2023//01//08"%"Jacket_Good"%"Low"%4,04%8%"Standard"%"No"%"95.9 USD"
"2023//02//05"%"Shoes_Good"%"Low"%3,63%6%"Economy"%"Yes"%"40.25 USD"
"2023//06//18"%"Shoes_VeryGood"%"Mid"%4,08%10%"Standard"%"No"%"93.66 USD"
"2023//03//16"%"Dress_Good"%"Low"%4,4%3%"Standard"%"No"%"81.29 USD"
"2023//11//08"%"Jacket_Good"%"Low"%4,52%5%"Economy"%"Yes"%"52.87 USD"
"2023//06//08"%"Accessories_VeryGood"%"Low"%4,79%9%"Standard"%"No"%"42.6 USD"
"2023//03//21"%"Jacket_New"%"Premium"%3,74%6%"Economy"%"No"%"213.38 USD"
"2023//09//23"%"Shoes_Good"%"Mid"%4,46%7%"Economy"%"No"%"100.64 USD"
"2023//08//16"%"Dress_Good"%"Premium"%3,9%12%"Standard"%"No"%"147.86 USD"
"2023//06//10"%"Jacket_VeryGood"%"Mid"%3,9%6%"Economy"%"Yes"%"118.45 USD"
"2023//05//19"%"Jacket_New"%"Low"%4,4%9%"Economy"%"No"%"107.36 USD"
"2023//11//18"%"Accessories_VeryGood"%"Mid"%4,18%14%"Standard"%"No"%"49.01 USD"
"2023//04//28"%"Shoes_VeryGood"%"Premium"%4,95%6%"Economy"%"No"%"180.33 USD"
"2023//10//06"%"Jacket_VeryGood"%"Low"%4,83%7%"Economy"%"Yes"%"98.57 USD"
"2023//12//31"%"Accessories_Good"%"Mid"%4,8%18%"Economy"%"No"%"61.62 USD"
"2023//08//30"%"Shoes_Good"%"Low"%4,42%7%"Economy"%"No"%"55.3 USD"
"2023//02//11"%"Jacket_Fair"%"Low"%4,89%6%"Express"%"No"%"110.41 USD"
"2023//10//12"%"Jacket_VeryGood"%"Mid"%4,07%17%"Standard"%"No"%"172.87 USD"
"2023//05//07"%"Accessories_New"%"Premium"%3,93%11%"Economy"%"No"%"61.8 USD"
"2023//06//29"%"Shoes_Good"%"Mid"%4,2%26%"Standard"%"No"%"49.02 USD"
"2023//05//08"%"Jacket_Good"%"Low"%4,49%15%"Economy"%"No"%"80.72 USD"
"2023//08//01"%"Shoes_Good"%"Low"%4,01%6%"Express"%"No"%"99.62 USD"
"2023//09//17"%"Dress_Good"%"Low"%4,64%7%"Economy"%"Yes"%"59.2 USD"
"2023//06//22"%"Accessories_Good"%"Low"%4,35%16%"Standard"%"No"%"25.1 USD"
"2023//09//28"%"Jacket_Good"%"Mid"%4,41%18%"Economy"%"No"%"128.77 USD"
"2023//09//08"%"Shoes_Fair"%"Low"%4,35%10%"Standard"%"Yes"%"44.54 USD"
"2023//06//27"%"Shoes_New"%"Low"%4,89%5%"Standard"%"No"%"113.8 USD"
"2023//02//01"%"Shoes_VeryGood"%"Mid"%3,78%5%"Economy"%"No"%"108.62 USD"
"2023//07//29"%"Jacket_Good"%"Mid"%4,53%11%"Express"%"No"%"126.89 USD"
"2023//01//17"%"Jacket_VeryGood"%"Mid"%3,91%9%"Express"%"No"%"129.59 USD"
"2023//08//23"%"Shoes_Good"%"Low"%4,43%17%"Standard"%"No"%"83.31 USD"
"2023//07//21"%"Dress_VeryGood"%"Mid"%4,21%6%"Economy"%"No"%"83.6 USD"
"2023//03//25"%"Dress_Good"%"Low"%4,03%30%"Economy"%"Yes"%"42.66 USD"
"2023//11//15"%"Accessories_New"%"Premium"%3,81%7%"Economy"%"No"%"71.2 USD"
"2023//10//14"%"Accessories_Good"%"Mid"%3,88%7%"Standard"%"No"%"61.72 USD"
"2023//04//10"%"Jacket_New"%"Mid"%4,99%4%"Standard"%"Yes"%"176.14 USD"
"2023//04//20"%"Accessories_Fair"%"Premium"%4,7%8%"Economy"%"Yes"%"47.51 USD"
"2023//03//11"%"Jacket_VeryGood"%"Premium"%4,56%13%"Standard"%"Yes"%"190.79 USD"
"2023//11//21"%"Accessories_VeryGood"%"Mid"%5%8%"Economy"%"No"%"56.84 USD"
"2023//02//03"%"Dress_VeryGood"%"Low"%4,61%4%"Economy"%"No"%"87.93 USD"
"2023//12//06"%"Shoes_VeryGood"%"Mid"%4,07%20%"Economy"%"Yes"%"104.96 USD"
"2023//05//30"%"Dress_New"%"Mid"%4,94%11%"Standard"%"No"%"120.87 USD"
"2023//12//23"%"Shoes_VeryGood"%"Premium"%5%17%"Economy"%"No"%"157.46 USD"
"2023//05//11"%"Dress_Good"%"Premium"%4,13%7%"Standard"%"No"%"96.93 USD"
"2023//05//01"%"Shoes_New"%"Low"%4,11%30%"Economy"%"No"%"93.98 USD"
"2023//11//21"%"Accessories_VeryGood"%"Premium"%4,85%13%"Standard"%"Yes"%"49.81 USD"
"2023//03//03"%"Dress_Good"%"Mid"%4,28%12%"Economy"%"No"%"66.46 USD"
"2023//04//21"%"Jacket_Good"%"Mid"%4,4%4%"Express"%"No"%"123.71 USD"
"2023//11//21"%"Accessories_New"%"Low"%4,87%23%"Economy"%"No"%"45.09 USD"
"2023//01//18"%"Jacket_Good"%"Mid"%4,49%2%"Economy"%"No"%"117.46 USD"
"2023//05//22"%"Accessories_Fair"%"Premium"%4,35%5%"Express"%"Yes"%"68.36 USD"
"2023//08//10"%"Jacket_Good"%"Low"%4,9%9%"Economy"%"Yes"%"91.31 USD"
"2023//08//09"%"Shoes_Good"%"Mid"%4,12%11%"Economy"%"No"%"87.31 USD"
"2023//07//03"%"Accessories_Fair"%"Mid"%4,35%8%"Economy"%"Yes"%"17.17 USD"
"2023//07//08"%"Shoes_VeryGood"%"Mid"%4,45%10%"Standard"%"No"%"82.53 USD"
"2023//06//12"%"Accessories_VeryGood"%"Premium"%4,27%43%"Standard"%"No"%"47.49 USD"
"2023//06//20"%"Shoes_VeryGood"%"Low"%4,14%17%"Standard"%"Yes"%"74.56 USD"
"2023//04//24"%"Jacket_Good"%"Low"%4,41%10%"Standard"%"No"%"79.63 USD"
"2023//05//06"%"Jacket_VeryGood"%"Low"%3,74%11%"Standard"%"No"%"130.31 USD"
"2023//02//07"%"Jacket_Good"%"Low"%4,09%27%"Economy"%"No"%"92.98 USD"
"2023//07//12"%"Dress_VeryGood"%"Mid"%3,78%5%"Standard"%"No"%"109.85 USD"
"2023//11//22"%"Dress_VeryGood"%"Mid"%4,94%4%"Standard"%"Yes"%"120.88 USD"
"2023//01//26"%"Jacket_VeryGood"%"Mid"%4,7%16%"Economy"%"Yes"%"126.38 USD"
"2023//09//09"%"Jacket_VeryGood"%"Low"%4,08%7%"Standard"%"Yes"%"95.18 USD"
"2023//09//17"%"Shoes_Good"%"Low"%4,86%8%"Standard"%"Yes"%"82.07 USD"
"2023//12//04"%"Shoes_VeryGood"%"Low"%5%13%"Standard"%"No"%"100.04 USD"
"2023//06//20"%"Jacket_Fair"%"Low"%4,8%6%"Express"%"No"%"106.32 USD"
"2023//09//10"%"Dress_Fair"%"Low"%4,89%5%"Standard"%"Yes"%"40.4 USD"
"2023//04//17"%"Shoes_New"%"Low"%4,32%10%"Economy"%"No"%"103.05 USD"
"2023//09//11"%"Jacket_VeryGood"%"Low"%4,2%39%"Standard"%"No"%"100.68 USD"
"2023//10//29"%"Shoes_New"%"Mid"%5%2%"Economy"%"No"%"139.37 USD"
"2023//03//11"%"Dress_Fair"%"Low"%4,2%29%"Economy"%"No"%"41.4 USD"
"2023//01//12"%"Shoes_Fair"%"Mid"%5%12%"Standard"%"No"%"60.99 USD"
"2023//06//30"%"Dress_Good"%"Low"%4,8%5%"Standard"%"No"%"93.83 USD"
"2023//09//08"%"Jacket_VeryGood"%"Mid"%4,36%18%"Economy"%"No"%"127 USD"
"2023//01//29"%"Shoes_VeryGood"%"Low"%3,95%6%"Express"%"No"%"112.75 USD"
"2023//09//02"%"Accessories_VeryGood"%"Mid"%3,3%3%"Express"%"Yes"%"18.55 USD"
"2023//02//11"%"Dress_VeryGood"%"Premium"%4,65%12%"Standard"%"No"%"159.42 USD"
"2023//02//21"%"Jacket_VeryGood"%"Premium"%4,11%17%"Standard"%"No"%"158.89 USD"
"2023//11//23"%"Jacket_Fair"%"Mid"%4,58%6%"Economy"%"Yes"%"69.63 USD"
"2023//04//13"%"Jacket_Good"%"Low"%3,69%30%"Express"%"No"%"99.62 USD"
"2023//08//03"%"Jacket_VeryGood"%"Premium"%4,88%6%"Economy"%"No"%"184.7 USD"
"2023//04//22"%"Jacket_VeryGood"%"Low"%4,91%8%"Express"%"No"%"99.86 USD"
"2023//12//26"%"Accessories_New"%"Premium"%3,77%22%"Economy"%"Yes"%"43.38 USD"
"2023//10//14"%"Jacket_VeryGood"%"Premium"%4,04%7%"Economy"%"No"%"172.62 USD"
"2023//05//10"%"Dress_New"%"Low"%3,92%18%"Economy"%"No"%"59.47 USD"
"2023//05//03"%"Jacket_VeryGood"%"Mid"%5%4%"Standard"%"No"%"139.36 USD"
"2023//08//30"%"Shoes_Good"%"Mid"%3,88%8%"Standard"%"Yes"%"88.33 USD"
"2023//10//13"%"Shoes_Good"%"Low"%4,38%4%"Express"%"No"%"68.77 USD"
"2023//05//07"%"Shoes_Good"%"Mid"%4,71%22%"Standard"%"No"%"119.74 USD"
"2023//09//12"%"Jacket_VeryGood"%"Low"%4,27%15%"Standard"%"No"%"112.47 USD"
"2023//09//14"%"Shoes_Fair"%"Mid"%5%17%"Economy"%"No"%"81.71 USD"
"2023//09//10"%"Dress_VeryGood"%"Premium"%4,41%9%"Express"%"No"%"197.9 USD"
"2023//01//08"%"Jacket_Good"%"Low"%3,86%10%"Economy"%"Yes"%"66.92 USD"
"2023//03//03"%"Dress_Good"%"Low"%4,96%8%"Economy"%"Yes"%"103.87 USD"
"2023//06//22"%"Shoes_VeryGood"%"Premium"%4,83%8%"Economy"%"No"%"178.24 USD"
"2023//08//22"%"Shoes_Fair"%"Low"%4,31%10%"Economy"%"Yes"%"68.86 USD"
"2023//10//28"%"Accessories_Good"%"Low"%4,16%5%"Standard"%"No"%"34.73 USD"
"2023//04//15"%"Jacket_New"%"Mid"%4,15%17%"Economy"%"No"%"153.5 USD"
"2023//04//11"%"Accessories_VeryGood"%"Mid"%4,26%9%"Standard"%"No"%"66.23 USD"
"2023//08//15"%"Shoes_VeryGood"%"Mid"%4,5%7%"Standard"%"Yes"%"107.95 USD"
"2023//04//26"%"Jacket_Good"%"Mid"%4,66%18%"Economy"%"No"%"132.78 USD"
"2023//03//06"%"Shoes_Good"%"Low"%4,5%25%"Economy"%"Yes"%"51.45 USD"
"2023//05//17"%"Jacket_Fair"%"Mid"%4,07%10%"Standard"%"Yes"%"36.77 USD"
"2023//01//31"%"Jacket_VeryGood"%"Mid"%4,28%6%"Economy"%"No"%"161.95 USD"
"2023//01//06"%"Shoes_Good"%"Low"%3,97%4%"Economy"%"Yes"%"78.91 USD"
"2023//12//28"%"Jacket_VeryGood"%"Low"%4,29%4%"Standard"%"No"%"92.41 USD"
"2023//03//11"%"Dress_Good"%"Mid"%4,4%2%"Economy"%"No"%"75.81 USD"
"2023//07//06"%"Jacket_Good"%"Low"%4,51%7%"Standard"%"No"%"117.31 USD"
"2023//09//11"%"Accessories_VeryGood"%"Mid"%4,46%3%"Standard"%"No"%"85.07 USD"
"2023//01//11"%"Dress_Good"%"Mid"%4,98%13%"Economy"%"No"%"66.16 USD"
"2023//03//30"%"Jacket_Fair"%"Mid"%4,91%4%"Standard"%"No"%"93.68 USD"
"2023//04//01"%"Dress_Good"%"Premium"%4,3%12%"Standard"%"No"%"100.97 USD"
"2023//10//04"%"Shoes_VeryGood"%"Low"%3,94%7%"Economy"%"No"%"88.62 USD"
"2023//09//08"%"Accessories_Good"%"Low"%3,61%7%"Standard"%"No"%"20.84 USD"
"2023//10//14"%"Shoes_VeryGood"%"Mid"%4,46%12%"Economy"%"No"%"118.38 USD"
"2023//05//26"%"Jacket_Good"%"Low"%3,79%15%"Standard"%"No"%"133.97 USD"
"2023//05//26"%"Shoes_New"%"Low"%5%11%"Express"%"No"%"108.44 USD"
"2023//11//24"%"Shoes_Good"%"Premium"%4,58%9%"Express"%"No"%"168.83 USD"
"2023//06//06"%"Shoes_VeryGood"%"Low"%3,72%17%"Standard"%"Yes"%"64.78 USD"
"2023//10//20"%"Dress_Fair"%"Mid"%4,49%15%"Economy"%"No"%"68.37 USD"
"2023//06//18"%"Dress_New"%"Low"%5%18%"Economy"%"No"%"110.85 USD"
"2023//04//09"%"Dress_Good"%"Premium"%4,28%11%"Economy"%"No"%"141.79 USD"
"2023//08//18"%"Jacket_Good"%"Low"%4,69%5%"Express"%"No"%"94.45 USD"
"2023//04//11"%"Jacket_VeryGood"%"Mid"%4,56%5%"Express"%"Yes"%"130.42 USD"
"2023//02//03"%"Shoes_Fair"%"Low"%4,94%4%"Economy"%"No"%"73.06 USD"
"2023//07//10"%"Jacket_New"%"Mid"%4,07%4%"Standard"%"Yes"%"161.44 USD"
"2023//12//13"%"Shoes_Good"%"Low"%4,81%15%"Economy"%"No"%"88.44 USD"
"2023//09//17"%"Jacket_Fair"%"Low"%4,23%5%"Economy"%"No"%"60.42 USD"
"2023//12//16"%"Jacket_VeryGood"%"Mid"%4,7%3%"Economy"%"Yes"%"128.27 USD"
"2023//07//23"%"Shoes_Good"%"Mid"%5%10%"Standard"%"No"%"156.99 USD"
"2023//09//14"%"Accessories_VeryGood"%"Low"%5%8%"Standard"%"No"%"55 USD"
"2023//12//19"%"Accessories_New"%"Mid"%4,6%13%"Economy"%"Yes"%"46.05 USD"
"2023//08//06"%"Dress_Good"%"Premium"%4,17%14%"Economy"%"Yes"%"100.85 USD"
"2023//06//09"%"Shoes_Good"%"Low"%4,09%8%"Express"%"Yes"%"71.25 USD"
"2023//05//20"%"Jacket_Fair"%"Low"%4,32%11%"Standard"%"Yes"%"60.23 USD"
"2023//11//27"%"Dress_Good"%"Mid"%4,74%11%"Standard"%"Yes"%"46.03 USD"
"2023//08//06"%"Shoes_VeryGood"%"Low"%4,04%16%"Standard"%"No"%"109.18 USD"
"2023//05//08"%"Jacket_Good"%"Mid"%3,89%16%"Standard"%"No"%"106.58 USD"
"2023//08//11"%"Shoes_Good"%"Mid"%4,81%7%"Economy"%"No"%"72.34 USD"
"2023//01//11"%"Accessories_VeryGood"%"Premium"%4,59%9%"Express"%"No"%"78.68 USD"
"2023//09//12"%"Shoes_New"%"Premium"%4,05%4%"Economy"%"No"%"194.99 USD"
"2023//01//15"%"Dress_Fair"%"Mid"%4,56%16%"Standard"%"Yes"%"68.37 USD"
"2023//09//07"%"Dress_New"%"Mid"%5%10%"Economy"%"No"%"104.15 USD"
"2023//11//14"%"Dress_Good"%"Mid"%4,58%16%"Standard"%"Yes"%"64.68 USD"
"2023//07//06"%"Accessories_Good"%"Low"%4,59%10%"Express"%"No"%"54.11 USD"
"2023//03//26"%"Shoes_VeryGood"%"Mid"%3,5%28%"Economy"%"No"%"86.06 USD"
"2023//01//20"%"Dress_Fair"%"Premium"%4,05%19%"Standard"%"Yes"%"57.73 USD"
"2023//07//29"%"Accessories_VeryGood"%"Premium"%4,45%4%"Standard"%"No"%"55.59 USD"
"2023//04//25"%"Shoes_Fair"%"Low"%4,45%32%"Standard"%"No"%"80.12 USD"
