no,location,nop,income,expend,alcohol,price
11674021,20t-100t,5,2929,2868,0,1.006
21191021,20t-100t,4,1827,1995,0,1.006
21173024,100t-200t,3,1923,2072,0,1.006
21075021,20t-100t,3,2027,1946,93,1.006
11498021,20t-100t,4,1550,1644,0,1.006
21153024,20t-100t,4,2979,2714,0,1.006
20135021,200t-500t,3,2916,1720,0,1.006
21289021,20t-100t,4,843,1472,0,1.006
10125024,500t+,5,1165,1334,42,1.006
21171024,200t-500t,3,2790,2244,23,1.006
20127024,500t+,4,1420,1136,0,1.006
21158021,20t-100t,4,3164,4693,132,1.006
11324024,-20t,5,1862,1440,0,1.006
21162021,20t-100t,3,2801,2153,0,1.006
11109024,-20t,4,1424,1624,0,1.006
22082024,wies,6,980,993,0,1.006
11756024,20t-100t,3,2144,1501,0,1.006
11369021,-20t,4,800,1423,0,1.006
11610021,-20t,4,1781,1528,0,1.006
22034024,wies,4,2159,1568,0,1.006
20003021,200t-500t,3,1618,2473,0,1.006
10008024,500t+,2,1507,1406,89,1.006
10126024,500t+,3,3191,2825,199,1.006
21130024,20t-100t,2,1279,1274,0,1.006
11228024,200t-500t,4,2200,1856,66,1.006
12597024,wies,3,1028,1187,24,1.006
12160024,wies,4,2504,3304,0,1.006
11407021,20t-100t,2,2942,3845,0,1.006
12362021,wies,2,1298,684,67,1.006
11066024,-20t,3,2929,1255,0,1.006
11059024,-20t,2,1459,1232,66,1.006
11321021,-20t,4,1871,1724,0,1.006
21185024,20t-100t,4,1791,2058,0,1.006
11519024,20t-100t,4,1466,3848,184,1.006
21208021,200t-500t,3,1500,1472,134,1.006
20029024,200t-500t,5,4060,2180,0,1.006
21034024,20t-100t,3,3452,2405,125,1.006
20072024,500t+,2,1602,1841,0,1.006
20001021,200t-500t,4,2258,2003,0,1.006
22144024,wies,4,1601,1042,0,1.006
21247021,-20t,2,2266,1316,0,1.006
11064021,-20t,5,3808,3459,0,1.006
11064024,-20t,3,2079,3386,0,1.006
22045021,wies,5,3579,2863,56,1.006
11253021,20t-100t,6,2414,2425,0,1.006
21087024,20t-100t,3,1031,1750,0,1.006
21070021,-20t,5,2621,2460,0,1.006
10045021,200t-500t,4,1350,1095,0,1.006
22086024,wies,4,1128,1561,0,1.006
22082021,wies,6,1780,1177,0,1.006
20153021,500t+,3,2433,2473,244,1.006
10177021,500t+,3,2200,1873,0,1.006
22180024,wies,4,4382,2913,0,1.006
21289024,20t-100t,4,1814,3692,0,1.006
11529021,-20t,5,4170,4135,40,1.006
11078021,100t-200t,2,2122,1972,0,1.006
11484024,20t-100t,3,2836,2957,0,1.006
20023021,100t-200t,4,3296,2839,0,1.006
11077021,-20t,3,2419,1888,0,1.006
20094024,500t+,6,1872,1720,0,1.006
22096021,wies,6,1753,2462,108,1.006
22208024,wies,5,1385,1083,0,1.006
21057021,20t-100t,4,1905,2973,0,1.006
11108021,20t-100t,6,1762,1795,82,1.006
11756021,20t-100t,2,1051,864,0,1.006
11530024,-20t,6,4990,3780,0,1.006
21101024,20t-100t,3,1502,981,0,1.006
21218024,200t-500t,4,1637,1199,7,1.006
11047024,20t-100t,1,2340,1896,0,1.006
20023024,100t-200t,3,2260,1897,34,1.006
11115021,-20t,3,914,790,107,1.006
10127021,500t+,3,2533,2924,0,1.006
22027021,wies,4,1367,1787,0,1.006
21205021,200t-500t,5,1932,1129,0,1.006
21291024,-20t,4,1424,1133,0,1.006
12410024,wies,2,4550,3219,0,1.006
11410024,20t-100t,4,2055,2271,0,1.006
21056021,20t-100t,3,1136,1228,47,1.006
20020021,100t-200t,3,1195,1226,70,1.006
12236024,wies,4,1907,1298,0,1.006
22087024,wies,3,1224,955,64,1.006
20105021,500t+,5,2168,1429,0,1.006
11699022,200t-500t,5,1770,1200,0,1.006
21120021,-20t,3,1896,1834,0,1.006
11176021,-20t,3,1500,928,0,1.006
20036024,200t-500t,3,2450,1629,0,1.006
22029021,wies,2,1000,601,0,1.006
11366021,-20t,4,1924,1603,77,1.006
22029024,wies,4,1616,1352,0,1.006
21190021,20t-100t,4,4677,4060,247,1.006
21250024,-20t,5,3648,2971,0,1.006
20040024,200t-500t,4,1750,1942,0,1.006
21269021,-20t,4,502,1453,0,1.006
10099024,500t+,4,2205,1509,64,1.006
11150021,-20t,3,3381,2286,0,1.006
21030021,20t-100t,2,1119,1125,0,1.006
20124021,500t+,4,1798,1982,0,1.006
12268021,wies,4,2367,2162,0,1.006
10227024,100t-200t,5,1667,1538,0,1.006
11446021,-20t,2,2139,2170,0,1.006
10003024,500t+,4,2254,2237,167,1.006
21168021,-20t,4,3852,4273,0,1.006
22187021,wies,4,4634,1611,0,1.006
21264024,-20t,4,1895,1807,0,1.006
10077024,500t+,3,3123,2141,0,1.006
11074024,20t-100t,3,2486,1396,0,1.006
11271021,100t-200t,3,1015,898,0,1.006
10041024,200t-500t,3,4887,3409,269,1.006
20138021,200t-500t,2,1747,2242,77,1.006
21282024,100t-200t,2,1354,1137,51,1.006
10016021,500t+,3,2650,2085,8,1.006
21072021,-20t,4,833,1181,0,1.006
10063024,100t-200t,3,2500,2041,0,1.006
20063024,500t+,4,3172,3146,77,1.006
12427024,wies,4,3791,4940,0,1.006
22107024,wies,8,2614,2004,0,1.006
21011024,20t-100t,4,1942,1353,0,1.006
20018024,500t+,4,1173,1284,270,1.006
21121021,20t-100t,3,1500,1102,0,1.006
20093021,500t+,4,2660,2860,0,1.006
11554021,-20t,2,821,1205,0,1.006
22205021,wies,3,1933,1095,0,1.006
12477024,wies,2,1950,2379,0,1.006
11550024,20t-100t,4,2050,1656,0,1.006
11749021,-20t,3,1740,1697,0,1.006
10042021,200t-500t,5,767,2130,0,1.006
11509021,200t-500t,5,5949,4538,0,1.006
22162024,wies,2,4470,1388,0,1.006
12003024,wies,1,819,1107,0,1.006
21119024,-20t,3,3900,4017,307,1.006
10174024,500t+,2,2440,3300,402,1.006
21186024,20t-100t,6,926,737,0,1.006
11199021,20t-100t,4,2140,1687,0,1.006
22124021,wies,4,1812,1181,83,1.006
10152021,500t+,3,1433,1225,0,1.006
11353021,-20t,2,1239,990,0,1.006
11709021,200t-500t,3,3140,990,0,1.006
11769024,100t-200t,5,3231,2393,0,1.006
21164021,20t-100t,1,1147,812,64,1.006
21172021,200t-500t,3,972,919,0,1.006
20057021,100t-200t,2,4255,4122,125,1.006
10086021,500t+,2,1515,1305,0,1.006
10065021,100t-200t,4,4401,3593,332,1.006
20016024,500t+,3,4392,8435,0,1.006
11550021,20t-100t,5,2696,2568,0,1.006
20147024,500t+,2,2213,1874,81,1.006
20058024,500t+,3,2241,2067,0,1.006
21117021,-20t,4,814,768,37,1.006
20074024,500t+,2,1079,714,0,1.006
22163024,wies,4,1858,1140,0,1.006
11084024,20t-100t,1,7620,12721,0,1.006
11463024,-20t,6,2617,1948,93,1.006
20119021,500t+,2,2352,1277,190,1.006
10354021,200t-500t,1,2065,1969,0,1.006
22120021,wies,4,2410,2356,0,1.006
21266021,20t-100t,2,2113,1415,90,1.006
21068021,100t-200t,2,1251,1093,117,1.006
21048021,-20t,1,732,641,0,1.006
12036024,wies,5,1500,1566,0,1.006
20103024,500t+,2,2127,1879,184,1.006
11651024,-20t,3,2094,1729,0,1.006
11026024,-20t,3,2560,1952,0,1.006
11496022,20t-100t,3,1800,737,38,1.006
12581024,wies,4,2942,1859,123,1.006
12581021,wies,7,2014,2174,0,1.006
10335024,500t+,5,2147,3314,0,1.006
10023024,500t+,3,4495,3333,0,1.006
12111021,wies,8,1773,1813,0,1.006
21049024,20t-100t,4,1727,1666,131,1.006
11280024,200t-500t,5,1570,1420,0,1.006
21244021,-20t,3,3191,3777,0,1.006
12440021,wies,3,1584,1867,0,1.006
20107024,500t+,3,2196,2128,0,1.006
12577021,wies,4,1211,750,0,1.006
12512024,wies,4,1099,1502,0,1.006
21248021,20t-100t,9,3640,2555,181,1.006
12058021,wies,3,5592,4377,0,1.006
20065024,500t+,3,2450,2040,0,1.006
11233024,100t-200t,3,1936,2010,111,1.006
10090022,500t+,4,1599,1336,0,1.006
20068021,500t+,4,3600,2596,0,1.006
22087021,wies,3,1208,1064,0,1.006
11467021,-20t,5,4291,2406,0,1.006
20059021,500t+,3,3103,2216,38,1.006
20128021,200t-500t,4,4816,2345,0,1.006
11170024,20t-100t,5,2316,1048,141,1.006
10020024,500t+,3,2289,2076,0,1.006
20034021,200t-500t,4,3168,3517,0,1.006
11579024,20t-100t,4,2507,2089,71,1.006
10117021,500t+,5,1650,1503,0,1.006
11467024,-20t,2,1237,827,0,1.006
20075021,500t+,3,1104,1005,340,1.006
10262021,200t-500t,2,2508,2617,0,1.006
10106021,500t+,3,2223,2176,110,1.006
21045024,200t-500t,3,1669,1444,0,1.006
21122024,20t-100t,1,754,880,0,1.006
11338021,200t-500t,1,538,957,190,1.006
12060021,wies,5,3354,1805,99,1.006
11191024,-20t,1,1203,8681,0,1.006
11104021,-20t,2,1444,1281,0,1.006
11287021,20t-100t,2,4944,2780,115,1.006
22208021,wies,4,1833,1861,0,1.006
22027024,wies,5,2124,1521,194,1.006
12603021,wies,2,365,465,0,1.006
20082024,500t+,1,2309,2011,139,1.006
20063021,500t+,3,2500,2117,112,1.006
11181021,-20t,2,1807,1240,32,1.006
20071024,500t+,2,3725,3082,0,1.006
12443021,wies,3,943,810,0,1.006
12545024,wies,5,828,847,0,1.006
11760024,20t-100t,2,2672,2854,0,1.006
22085024,wies,3,1239,960,0,1.006
10135021,500t+,4,4145,3512,0,1.006
11088021,20t-100t,4,2039,1634,224,1.006
21168024,-20t,4,4538,3532,149,1.006
11450024,-20t,3,3817,3329,0,1.006
21017024,-20t,2,1057,844,0,1.006
21071024,20t-100t,2,1348,1062,0,1.006
22140021,wies,2,973,861,61,1.006
11676024,20t-100t,4,1536,1652,0,1.006
21199024,200t-500t,3,3325,1178,0,1.006
12401024,wies,6,1151,1100,141,1.006
12306021,wies,3,1350,827,123,1.006
12154024,wies,3,2923,2480,0,1.006
11153024,20t-100t,1,965,895,61,1.006
11714024,100t-200t,2,650,807,0,1.006
21138024,-20t,5,1907,1285,0,1.006
21060024,20t-100t,3,2555,1394,0,1.006
12551024,wies,9,1711,1718,0,1.006
12568021,wies,4,2209,1800,194,1.006
11486024,-20t,4,1031,1043,0,1.006
11751024,20t-100t,2,984,931,256,1.006
21147021,20t-100t,3,1725,1288,0,1.006
11363021,-20t,4,1610,518,0,1.006
10321024,100t-200t,2,2415,1041,0,1.006
11343021,100t-200t,3,2540,2031,0,1.006
12432024,wies,5,1725,1404,0,1.006
11207021,200t-500t,3,3169,3082,0,1.006
21103021,20t-100t,3,2212,3006,160,1.006
21065024,100t-200t,3,3100,1813,0,1.006
11729021,-20t,2,1644,1614,0,1.006
21155021,-20t,6,2631,2853,0,1.006
21037024,20t-100t,6,2336,2159,0,1.006
21206021,200t-500t,2,3090,2129,112,1.006
10043021,200t-500t,2,1596,1866,237,1.006
10005024,500t+,3,2050,2149,0,1.006
21150024,20t-100t,2,1841,1962,78,1.006
12058024,wies,5,4383,2094,59,1.006
11515021,20t-100t,2,1908,2064,54,1.006
21151021,20t-100t,3,2440,2677,0,1.006
11479021,-20t,4,1898,1416,0,1.006
10291021,200t-500t,3,1850,1941,0,1.006
10334021,500t+,3,1659,2263,0,1.006
12392024,wies,5,1468,2188,0,1.006
20112021,500t+,3,1470,2896,0,1.006
11612024,-20t,4,2331,2291,0,1.006
11110021,20t-100t,5,1929,1910,0,1.006
11197021,20t-100t,3,1082,1253,28,1.006
11380021,20t-100t,1,830,789,31,1.006
21283021,100t-200t,2,990,1891,0,1.006
20017024,500t+,4,2515,2390,80,1.006
21181021,20t-100t,2,2580,1660,167,1.006
22178024,wies,3,2599,4417,0,1.006
21174021,20t-100t,7,4760,2384,0,1.006
21259021,-20t,3,2157,1470,143,1.006
20019021,500t+,4,2791,1669,131,1.006
10277024,200t-500t,3,5241,4830,0,1.006
12424021,wies,8,635,698,0,1.006
20152024,500t+,4,1530,1238,203,1.006
11151024,-20t,2,950,1284,0,1.006
11150024,-20t,6,1450,1204,0,1.006
11111021,-20t,5,2304,1843,87,1.006
12505024,wies,4,2656,2175,0,1.006
21104024,20t-100t,3,2046,940,83,1.006
11151022,-20t,2,986,817,0,1.006
21088021,20t-100t,4,3662,2447,0,1.006
21082024,20t-100t,3,1403,1340,0,1.006
11664024,20t-100t,3,4094,3038,0,1.006
22071024,wies,7,1530,1291,35,1.006
22060021,wies,4,1554,1700,0,1.006
11391024,20t-100t,6,1823,1866,89,1.006
11660021,20t-100t,4,914,795,0,1.006
21077021,20t-100t,3,1683,1665,140,1.006
10137024,500t+,3,3308,2743,0,1.006
20097021,500t+,4,1575,2052,0,1.006
10033024,200t-500t,4,1968,1976,0,1.006
10158024,500t+,1,2500,2077,0,1.006
20073024,500t+,4,3191,3277,0,1.006
11075021,20t-100t,4,1658,1570,112,1.006
20065021,500t+,2,3125,1796,71,1.006
20024024,200t-500t,3,5300,6018,0,1.006
12283024,wies,4,1342,1578,0,1.006
10220024,100t-200t,3,2040,2210,0,1.006
10022024,500t+,5,3200,2586,0,1.006
21246021,20t-100t,4,2200,1494,0,1.006
12135024,wies,4,1751,1530,225,1.006
20029021,200t-500t,1,2100,1941,80,1.006
21079021,-20t,3,1594,1245,95,1.006
11660024,20t-100t,4,2685,2034,0,1.006
20120021,500t+,1,847,865,0,1.006
12147024,wies,4,1554,963,0,1.006
20096022,500t+,1,1366,1020,0,1.006
21142024,-20t,3,1248,1830,0,1.006
11030024,20t-100t,4,1596,1004,0,1.006
12454024,wies,3,2258,2336,0,1.006
11152021,20t-100t,3,2394,1433,67,1.006
12075024,wies,7,3039,2216,0,1.006
20039024,200t-500t,4,3662,2675,0,1.006
21090024,-20t,1,1198,1820,114,1.006
12429024,wies,7,1500,1603,0,1.006
22014024,wies,4,2119,2362,0,1.006
10259021,200t-500t,2,1038,893,209,1.006
20133021,200t-500t,4,2884,2296,0,1.006
11246021,200t-500t,2,3417,2639,20,1.006
21196024,100t-200t,5,4400,2695,217,1.006
11198021,-20t,3,1911,1362,0,1.006
11727024,-20t,3,1730,1583,0,1.006
11186021,20t-100t,3,2340,1337,85,1.006
20100024,500t+,4,2791,1886,196,1.006
20145021,500t+,5,2763,3348,0,1.006
12297021,wies,1,930,710,237,1.006
21015024,-20t,4,1524,1585,0,1.006
21080024,20t-100t,3,749,637,0,1.006
21086024,20t-100t,3,3371,2138,0,1.006
10154021,500t+,4,2904,2336,0,1.006
22042024,wies,4,1113,1706,0,1.006
10185021,500t+,2,3450,3224,0,1.006
21005021,-20t,2,1541,1160,0,1.006
11078024,100t-200t,1,653,920,0,1.006
11304024,20t-100t,4,1448,1120,0,1.006
20116024,500t+,1,2000,965,0,1.006
20061021,500t+,3,6857,4366,0,1.006
10076021,500t+,2,2878,2317,0,1.006
11298024,100t-200t,2,4810,2014,197,1.006
20140024,200t-500t,3,2330,2332,0,1.006
21235024,20t-100t,2,4100,3147,0,1.006
22035024,wies,3,1083,718,0,1.006
22199021,wies,3,1351,1250,0,1.006
10118024,500t+,3,2179,1795,265,1.006
10220021,100t-200t,3,1750,1955,0,1.006
10080021,500t+,3,2546,1905,0,1.006
22079021,wies,4,1043,933,0,1.006
12077021,wies,4,1675,4919,0,1.006
22145021,wies,3,1948,1652,0,1.006
21232024,100t-200t,4,4302,3291,0,1.006
22144021,wies,6,1050,1157,0,1.006
21241021,20t-100t,3,1977,2199,0,1.006
21198021,200t-500t,3,889,1122,103,1.006
21044024,200t-500t,2,1754,1268,148,1.006
12131021,wies,3,3756,1924,0,1.006
21016021,-20t,5,2369,1494,100,1.006
11687021,-20t,2,1176,715,0,1.006
20122024,500t+,3,2841,2101,0,1.006
12409024,wies,6,1331,1279,0,1.006
11687024,-20t,3,2229,1895,45,1.006
22123021,wies,2,2179,2164,0,1.006
11224024,200t-500t,4,3365,1826,127,1.006
11566021,20t-100t,2,2094,2412,0,1.006
21008021,-20t,3,2456,1645,130,1.006
11676021,20t-100t,1,951,577,0,1.006
21115024,20t-100t,3,2470,2574,0,1.006
11066021,-20t,3,1394,893,132,1.006
20146021,500t+,2,1049,713,79,1.006
10297024,200t-500t,6,1632,1472,0,1.006
11331024,200t-500t,5,1784,1660,0,1.006
21239021,200t-500t,5,3770,3818,54,1.006
20077021,500t+,2,2868,2963,25,1.006
10140021,500t+,2,1950,2000,0,1.006
22099021,wies,4,3287,2278,0,1.006
20064024,500t+,4,2872,1967,0,1.006
20145024,500t+,4,2600,2750,33,1.006
21112024,-20t,7,1580,1207,0,1.006
21012021,20t-100t,3,1900,1544,143,1.006
12214021,wies,5,390,390,0,1.006
22073024,wies,4,1198,1055,0,1.006
12144024,wies,5,2320,1455,0,1.006
22071021,wies,4,1085,1073,0,1.006
11559024,20t-100t,2,5235,4167,0,1.006
21132021,-20t,2,870,1137,0,1.006
22103021,wies,5,1134,1635,0,1.006
11651021,-20t,4,1054,1383,0,1.006
10238021,200t-500t,5,2278,3040,0,1.006
21084021,20t-100t,1,791,880,0,1.006
11248021,100t-200t,2,1473,1001,0,1.006
10023021,500t+,2,1959,1076,50,1.006
21089021,20t-100t,4,2040,2067,0,1.006
11035024,20t-100t,4,1286,1385,0,1.006
21234024,100t-200t,6,2341,2175,0,1.006
11099021,20t-100t,3,1486,1496,7,1.006
11698024,100t-200t,3,1675,1605,0,1.006
11352024,-20t,5,3752,6848,0,1.006
21145024,-20t,4,1582,1478,0,1.006
21062024,-20t,3,1929,1270,0,1.006
20096021,500t+,1,937,929,0,1.006
22069021,wies,2,1556,1710,0,1.006
21279021,20t-100t,2,2878,1244,0,1.006
12526024,wies,5,1865,2401,0,1.006
11686024,-20t,4,2282,5272,18,1.006
22051024,wies,5,2939,2586,43,1.006
21292024,20t-100t,4,878,1080,0,1.006
20027024,200t-500t,3,3040,1637,220,1.006
12407024,wies,3,1246,1601,0,1.006
21225024,20t-100t,3,1544,954,0,1.006
21263021,20t-100t,4,1984,1657,0,1.006
21274024,-20t,3,2390,1932,0,1.006
21166021,20t-100t,2,2670,1844,0,1.006
10340024,500t+,2,1217,1373,0,1.006
21019024,20t-100t,3,1858,1547,0,1.006
10098021,500t+,4,1262,1104,0,1.006
11593024,-20t,5,3156,3168,0,1.006
12568024,wies,4,1144,992,0,1.006
11471021,20t-100t,5,6025,2887,0,1.006
20142021,500t+,4,1700,1419,0,1.006
10148024,500t+,4,4000,2911,0,1.006
10164024,500t+,2,3700,3006,0,1.006
21021024,20t-100t,3,2546,1908,0,1.006
12519021,wies,10,1573,1674,0,1.006
20043021,200t-500t,3,3067,2626,0,1.006
10148021,500t+,5,2394,2603,0,1.006
11321024,-20t,3,1749,1798,0,1.006
11041021,100t-200t,3,3342,3482,133,1.006
10194024,500t+,3,3211,6437,0,1.006
20017021,500t+,5,2211,1757,0,1.006
22215021,wies,2,1906,1730,0,1.006
21024021,100t-200t,2,2500,1321,0,1.006
11021021,-20t,2,2024,1747,0,1.006
10227021,100t-200t,1,1220,804,0,1.006
11525024,20t-100t,4,1872,1493,0,1.006
11217021,100t-200t,1,2645,1693,0,1.006
20116021,500t+,4,2804,2824,0,1.006
10151024,500t+,5,4683,5306,0,1.006
20068024,500t+,3,4672,2078,0,1.006
11108024,20t-100t,3,1377,1401,67,1.006
21075024,20t-100t,1,1253,1654,0,1.006
20132021,200t-500t,4,1109,1181,0,1.006
20060021,500t+,3,4471,1393,72,1.006
11509024,200t-500t,4,1880,1498,0,1.006
21165021,20t-100t,1,1933,2150,74,1.006
21230024,100t-200t,3,1796,1745,0,1.006
11056024,-20t,1,847,824,0,1.006
20007024,200t-500t,2,2300,1776,133,1.006
21117024,-20t,4,1306,1327,0,1.006
11522024,-20t,5,1514,1846,0,1.006
21246024,20t-100t,4,2300,1576,0,1.006
10344021,500t+,3,1210,1099,0,1.006
10365024,200t-500t,3,811,647,0,1.006
10199021,500t+,4,1907,2785,0,1.006
11019024,-20t,3,1855,1579,0,1.006
20099024,500t+,7,5779,3664,0,1.006
11156024,20t-100t,4,1467,1384,0,1.006
11343024,100t-200t,4,1635,1514,0,1.006
10079024,500t+,2,2843,4192,179,1.006
10358024,200t-500t,2,1157,914,150,1.006
20138024,200t-500t,4,2640,2071,189,1.006
11290021,100t-200t,5,2502,2301,194,1.006
21071021,20t-100t,4,1559,1395,0,1.006
11545021,100t-200t,1,2323,1732,0,1.006
12101024,wies,4,3139,1789,0,1.006
20047024,200t-500t,2,1997,2255,0,1.006
11152024,20t-100t,3,1109,945,61,1.006
10161024,500t+,2,2461,2329,0,1.006
11760021,20t-100t,2,1800,648,121,1.006
21202024,200t-500t,4,2100,2153,308,1.006
10283024,200t-500t,4,4590,2660,149,1.006
11665021,20t-100t,4,1983,1469,0,1.006
21077024,20t-100t,2,1941,1989,0,1.006
22146024,wies,4,983,783,0,1.006
11559021,20t-100t,3,1635,1382,0,1.006
12304024,wies,2,1635,2134,0,1.006
10255021,200t-500t,2,1779,1594,0,1.006
10132024,500t+,4,1973,2151,0,1.006
21169021,200t-500t,3,1870,1689,0,1.006
12559024,wies,4,776,575,0,1.006
20037021,200t-500t,3,2021,2297,0,1.006
20028021,200t-500t,4,5320,4290,0,1.006
21137024,20t-100t,2,1660,1198,265,1.006
10319021,100t-200t,3,1100,611,86,1.006
21089024,20t-100t,4,3699,1870,30,1.006
11301024,20t-100t,3,1950,2149,0,1.006
21076024,-20t,4,1126,1098,0,1.006
21085021,20t-100t,4,1289,1407,140,1.006
21076021,-20t,4,1750,1435,0,1.006
12430021,wies,2,1666,1554,119,1.006
21204024,100t-200t,2,1819,1580,71,1.006
10282021,200t-500t,3,2863,1231,277,1.006
12285024,wies,5,1400,715,0,1.006
10161021,500t+,4,3831,3651,0,1.006
11276024,20t-100t,5,1162,1012,0,1.006
10057024,200t-500t,4,3267,1986,32,1.006
21020021,20t-100t,3,2490,1732,133,1.006
11498024,20t-100t,3,2700,2129,0,1.006
11488021,-20t,5,2420,1673,0,1.006
21198024,200t-500t,2,1724,1670,0,1.006
21202021,200t-500t,4,2644,2081,0,1.006
10246021,200t-500t,2,990,1155,0,1.006
21135024,-20t,3,2042,2047,0,1.006
20024021,200t-500t,4,2298,2686,99,1.006
11026021,-20t,4,1452,1438,0,1.006
11422024,20t-100t,4,1922,1566,0,1.006
12401021,wies,3,1625,825,0,1.006
22166021,wies,4,2452,1533,0,1.006
21134021,-20t,4,3252,2279,0,1.006
11300021,-20t,4,1429,1215,0,1.006
20057024,100t-200t,1,1560,1563,134,1.006
21043021,200t-500t,1,1000,812,0,1.006
21182021,-20t,3,2462,1623,0,1.006
10279021,200t-500t,2,2000,1234,57,1.006
21036024,-20t,4,1375,1041,95,1.006
11305024,20t-100t,5,3049,1261,0,1.006
21133021,-20t,3,1899,1523,0,1.006
10201021,500t+,4,2900,2033,0,1.006
11236021,100t-200t,4,1790,1617,54,1.006
21027024,100t-200t,13,2175,838,0,1.006
10292021,200t-500t,4,2844,1429,105,1.006
11598021,20t-100t,4,975,896,0,1.006
10077021,500t+,1,2814,2147,137,1.006
21280024,20t-100t,5,1896,1857,0,1.006
20041024,200t-500t,1,1465,1357,129,1.006
11564024,20t-100t,4,1587,1202,150,1.006
22205024,wies,6,1210,1268,0,1.006
21265024,-20t,4,3698,2761,0,1.006
11129021,-20t,3,3016,4051,0,1.006
11541021,20t-100t,2,1103,1144,0,1.006
21200024,200t-500t,3,540,507,0,1.006
12544024,wies,3,1273,1133,141,1.006
21129021,20t-100t,4,2629,2451,0,1.006
21257024,-20t,3,2040,1680,35,1.006
12544021,wies,4,1477,1168,10,1.006
22080024,wies,2,1666,1077,82,1.006
21277021,-20t,3,4780,3617,7,1.006
21212021,100t-200t,3,4836,2542,176,1.006
21166024,20t-100t,4,2769,1778,0,1.006
21032021,-20t,3,1583,1709,0,1.006
11674024,20t-100t,3,2073,1492,0,1.006
20111021,500t+,2,1984,1917,0,1.006
11487021,20t-100t,4,2332,1487,0,1.006
11490024,20t-100t,3,1353,1119,0,1.006
12060024,wies,4,2500,1091,0,1.006
10063021,100t-200t,1,1945,751,0,1.006
20073021,500t+,4,1997,1644,0,1.006
20107021,500t+,2,3029,2182,0,1.006
11604022,-20t,4,2209,1637,0,1.006
22186024,wies,7,2209,2091,0,1.006
10265024,200t-500t,4,2465,2221,158,1.006
21123021,100t-200t,4,1587,1573,0,1.006
11184021,20t-100t,5,2516,2835,0,1.006
12434024,wies,4,2300,18153,0,1.006
10031021,200t-500t,2,2200,1341,0,1.006
10151021,500t+,3,3531,2268,0,1.006
21002021,20t-100t,3,1557,1046,0,1.006
21170021,200t-500t,3,2320,1983,174,1.006
22215024,wies,3,830,1551,166,1.006
10043025,200t-500t,2,906,986,0,1.006
11678021,-20t,2,1760,1957,0,1.006
11246024,200t-500t,5,1579,1557,0,1.006
11258024,20t-100t,2,2280,1626,0,1.006
21217021,200t-500t,1,2840,8693,0,1.006
20044024,200t-500t,4,1957,2440,0,1.006
10112021,500t+,4,2214,2165,0,1.006
21251024,20t-100t,4,1742,1099,0,1.006
11275024,20t-100t,5,10523,4737,0,1.006
11076021,20t-100t,2,1053,1162,0,1.006
22221021,wies,4,2524,1192,172,1.006
21266024,20t-100t,2,4650,3935,0,1.006
12551021,wies,6,2663,2190,0,1.006
11534024,-20t,4,2527,1739,0,1.006
11236024,100t-200t,3,2600,2951,0,1.006
22131024,wies,6,1067,785,0,1.006
11663021,20t-100t,1,1065,1119,0,1.006
21084024,20t-100t,3,2045,2189,0,1.006
21064024,20t-100t,1,362,416,0,1.006
21099021,20t-100t,5,2032,2638,0,1.006
11263024,20t-100t,3,1800,1830,0,1.006
21154021,20t-100t,4,1770,1515,0,1.006
21224024,20t-100t,4,2400,2704,294,1.006
21053024,20t-100t,2,2335,1680,0,1.006
20049024,200t-500t,3,2503,1262,0,1.006
22119024,wies,1,1173,1066,31,1.006
21007024,20t-100t,2,1073,977,0,1.006
10252024,200t-500t,3,1400,1614,0,1.006
11052021,-20t,3,1463,1438,158,1.006
11231021,100t-200t,3,1220,1198,0,1.006
20035024,200t-500t,4,3797,3252,48,1.006
21054025,-20t,2,615,359,0,1.006
12294021,wies,4,743,1093,0,1.006
21067021,100t-200t,2,4600,2761,0,1.006
11045021,20t-100t,3,2071,1722,0,1.006
22211024,wies,6,486,764,0,1.006
21216024,200t-500t,4,2845,2868,0,1.006
21216021,200t-500t,4,2223,1945,0,1.006
11082021,20t-100t,2,1279,1464,0,1.006
21028024,100t-200t,2,1200,2457,0,1.006
11254021,20t-100t,3,2681,2815,195,1.006
20044021,200t-500t,7,2251,2651,0,1.006
21282021,100t-200t,3,1706,1774,0,1.006
11038024,100t-200t,3,4274,3782,147,1.006
22167021,wies,4,2662,2224,110,1.006
12410021,wies,8,3969,1009,0,1.006
21270024,-20t,4,1708,1255,0,1.006
21102024,20t-100t,4,625,754,0,1.006
11492021,-20t,4,1615,1199,0,1.006
11583021,20t-100t,4,1720,1492,0,1.006
20013024,500t+,6,2734,2103,0,1.006
10126021,500t+,6,2932,2518,256,1.006
11323024,-20t,4,1838,1413,0,1.006
21249021,20t-100t,3,1250,996,0,1.006
10031024,200t-500t,5,2447,2458,0,1.006
21194021,20t-100t,5,2243,1394,64,1.006
20102024,500t+,3,3722,2409,252,1.006
10275021,200t-500t,2,3098,3336,0,1.006
12299024,wies,5,1675,1754,0,1.006
20010021,500t+,1,1750,1059,0,1.006
10264021,200t-500t,3,3040,2283,70,1.006
11278021,200t-500t,3,4330,2790,0,1.006
21062021,-20t,5,1722,1428,60,1.006
11766021,100t-200t,1,378,299,41,1.006
22209024,wies,3,4055,3413,304,1.006
10255024,200t-500t,3,1970,1964,0,1.006
11761021,100t-200t,3,178,299,0,1.006
12441021,wies,4,3981,2240,47,1.006
