COUNTRY;CONTINENT;AREA (SQ KM);POPULATION;(BIRTHS/1000 POPULATION);LIFE EXPECTANCY (YEARS);ADULT OBESITY (%);GDP - PER CAPITA (PPP);UNEMPLOYMENT RATE (%);ELECTRICITY CONSUMPTION (KWH);MOBILE PHONES;INTERNET USERS;RAILWAYS (KM);MILITARY EXPENDITURES (% OF GDP);POPULATION DENSITY (PERS/SQ KM);ELECTRICITY CONSUMPTION PER CAPITA;MOBILE PHONES (%);INTERNET USERS (%);RAILWAY DENSITY
SAINT PIERRE AND MIQUELON;NORTH AMERICA;242;5347;6,7;81;NA;46200;8,7;42780000;NA;45;NA;NA;22,1;8000,75;NA;0,01;NA
SAINT VINCENT AND THE GRENADINES;CENTRAL AMERICA;389;10139;12,6;76,2;23,7;11500;18,8;146000000;94367;22803;NA;NA;26,06;14399,84;9,31;2,25;NA
SAMOA;AUSTRALIA & OCEANIA;2831;203774;19,6;74,7;47,3;5700;5,2;122800000;128776;67662;NA;NA;71,98;602,63;0,63;0,33;NA
SAN MARINO;EUROPE;61;34232;8,8;83,5;NA;59000;8,1;NA;38921;20328;NA;NA;561,18;NA;1,14;0,59;NA
SAO TOME AND PRINCIPE;AFRICA;964;211122;29,7;66,3;12,4;3200;12,2;61380000;160189;61193;NA;NA;219,01;290,73;0,76;0,29;NA
SAUDI ARABIA;MIDDLE EAST;2149690;34173498;14,7;76,2;35,4;54500;6;2,962E+11;40532610;30877318;541;8;15,9;8667,54;1,19;0,9;0,0003
SENEGAL;AFRICA;196722;15736368;31,8;63,2;8,8;3500;48;3497000000;16871654;6909635;906;1,5;79,99;222,22;1,07;0,44;0,0046
SERBIA;EUROPE;77474;7012165;8,8;76,3;21,5;15100;14,1;29810000000;6789423;5192501;3809;2,2;90,51;4251,18;0,97;0,74;0,0492
SEYCHELLES;AFRICA;455;95981;12,8;75,6;14;29300;3;325500000;188879;55616;NA;1,3;210,95;3391,3;1,97;0,58;NA
SIERRA LEONE;AFRICA;71740;6624933;35,4;59,8;8,7;1600;15;279000000;5569221;568099;NA;0,7;92,35;42,11;0,84;0,09;NA
SINGAPORE;EAST ASIA;719,2;6209660;8,9;86;6,1;94100;2,25;47690000000;9543773;5286665;NA;3,2;8634,12;7679,97;1,54;0,85;NA
SINT MAARTEN;CENTRAL AMERICA;34;43847;12,9;78,8;NA;66800;12;NA;84773;NA;NA;NA;1289,62;NA;1,93;NA;NA
SLOVAKIA;EUROPE;49035;5440602;9,3;77,8;20,5;33100;5;26640000000;7381164;4391969;358;1,74;110,95;4896,52;1,36;0,81;0,0073
SLOVENIA;EUROPE;20273;2102678;8,7;81,4;20,2;34500;7,64;13400000000;2540917;1676445;1229;1,04;103,72;6372,83;1,21;0,8;0,0606
SOLOMON ISLANDS;AUSTRALIA & OCEANIA;28896;685097;23,6;76,2;22,5;2200;NA;95790000;480124;78686;NA;NA;23,71;139,82;0,7;0,11;NA
SOMALIA;AFRICA;637657;11757124;38,7;54;8,3;NA;NA;315300000;5612338;225181;NA;NA;18,44;26,82;0,48;0,02;NA
SOUTH AFRICA;AFRICA;1219090;56463617;19,2;64,8;28,3;13600;28,53;2,071E+11;92600942;31107064;20986;1;46,32;3667,85;1,64;0,55;0,0172
SOUTH SUDAN;AFRICA;644329;10561244;38,8;55,5;6,6;1600;NA;391800000;3439784;814326;248;3,5;16,39;37,1;0,33;0,08;0,0004
SPAIN;EUROPE;505370;50015792;8,7;82;23,8;38400;14,13;2,395E+11;58750448;42478990;15333;0,92;98,97;4788,49;1,17;0,85;0,0303
SRI LANKA;SOUTH ASIA;65610;22889201;14,2;77,5;5,2;12900;4,83;12670000000;26160623;7700876;1562;1,9;348,87;553,54;1,14;0,34;0,0238
SUDAN;AFRICA;1861484;45561556;33,8;66,5;6,6;4300;19,6;12120000000;34198859;13311404;7251;1,6;24,48;266,01;0,75;0,29;0,0039
SURINAME;SOUTH AMERICA;163820;609569;14,9;73,3;26,4;14900;8,9;1750000000;845292;292685;NA;NA;3,72;2870,88;1,39;0,48;NA
SWEDEN;EUROPE;450295;10202491;12,1;82,4;20,6;51200;6,78;1,335E+11;12785850;9251773;14127;1,1;22,66;13085,04;1,25;0,91;0,0314
SWITZERLAND;EUROPE;41277;8403994;10,5;82,8;19,5;62100;2,31;58460000000;10618759;7437820;569;0,7;203,6;6956,22;1,26;0,89;0,0138
SYRIA;MIDDLE EAST;187437;19398448;23,8;73,7;27,8;2900;50;14160000000;21115000;6077510;2052;NA;103,49;729,96;1,09;0,31;0,0109
TAIWAN;EAST ASIA;35980;23603049;8;80,6;NA;50500;3,73;2,374E+11;29049784;21845944;1613;1,7;656;10058,02;1,23;0,93;0,0448
TAJIKISTAN;CENTRAL ASIA;144100;8873669;21,8;69;14,2;3200;2,4;12960000000;9747803;1889632;680;1,2;61,58;1460,5;1,1;0,21;0,0047
TANZANIA;AFRICA;947300;58552845;34,6;63,9;8,4;3200;10,3;5682000000;46847405;13862836;4567;1,3;61,81;97,04;0,8;0,24;0,0048
THAILAND;EAST ASIA;513120;68977400;10,7;75,6;10;17900;0,99;1,877E+11;128086321;38987531;4127;1,3;134,43;2721,18;1,86;0,57;0,008
TIMOR-LESTE;EAST ASIA;14874;1383723;32;69,3;3,8;6000;4,4;0;1490966;363398;NA;1;93,03;0;1,08;0,26;NA
TOGO;AFRICA;56785;8608444;32;66,6;8,4;1700;6,9;1261000000;6477816;1010609;568;3,1;151,6;146,48;0,75;0,12;0,01
TONGA;AUSTRALIA & OCEANIA;747;106095;21;77;48,2;5900;1,1;48360000;63156;43889;NA;NA;142,03;455,82;0,6;0,41;NA
TRINIDAD AND TOBAGO;CENTRAL AMERICA;5128;1208789;11,4;73,9;18,6;31300;4,9;9867000000;1880555;939967;NA;0,7;235,72;8162,71;1,56;0,78;NA
TUNISIA;AFRICA;163610;11721177;15,9;76,3;26,9;11900;15,5;15270000000;14679917;7392242;2173;2,6;71,64;1302,77;1,25;0,63;0,0133
TURKEY;MIDDLE EAST;783562;82017514;14,8;75,7;32,1;27000;13,68;2,311E+11;79068023;57725143;1271;1,89;104,67;2817,69;0,96;0,7;0,0016
TURKMENISTAN;CENTRAL ASIA;488100;5528627;18,3;71,3;18,6;18200;11;15090000000;8908821;1149840;5113;NA;11,33;2729,43;1,61;0,21;0,0105
TURKS AND CAICOS ISLANDS;CENTRAL AMERICA;948;55926;14,1;80,3;NA;29100;10;218600000;NA;NA;NA;NA;58,99;3908,74;NA;NA;NA
TUVALU;AUSTRALIA & OCEANIA;26;11342;23,4;67,9;51,6;3800;NA;NA;7911;5498;NA;NA;436,23;NA;0,7;0,48;NA
UGANDA;AFRICA;241038;43252966;42,3;68,2;5,3;2400;9,4;3106000000;23957740;9620681;1244;2,1;179,44;71,81;0,55;0,22;0,0052
UKRAINE;EUROPE;603550;43922939;9,6;72,9;24,1;8800;8,89;1,332E+11;57431439;25883509;21733;3,9;72,77;3032,58;1,31;0,59;0,036
UNITED ARAB EMIRATES;MIDDLE EAST;83600;9992083;9,5;79;31,7;68600;1,6;1,132E+11;19749674;9550945;NA;5,7;119,52;11328,97;1,98;0,96;NA
UNITED KINGDOM;EUROPE;243610;65761117;11,9;81,1;27,8;44300;3,17;3,092E+11;76920618;61784878;16837;2,14;269,94;4701,87;1,17;0,94;0,0691
UNITED STATES;NORTH AMERICA;9833517;332639102;12,4;80,3;36,2;59800;3,89;3,902E+12;408509528;285519020;293564;3,42;33,83;11730,43;1,23;0,86;0,0299
URUGUAY;SOUTH AMERICA;176215;3387605;12,9;77,9;27,9;22400;7,6;10770000000;4664993;2300557;1673;2;19,22;3179,24;1,38;0,68;0,0095
UZBEKISTAN;CENTRAL ASIA;447400;30565411;16,1;74,8;16,6;6900;5;49070000000;30662740;15705402;4642;4;68,32;1605,41;1;0,51;0,0104
VANUATU;AUSTRALIA & OCEANIA;12189;298333;22,4;74,6;25,2;2700;1,7;58590000;259317;74083;NA;NA;24,48;196,39;0,87;0,25;NA
VENEZUELA;SOUTH AMERICA;912050;28644603;17,9;71;25,6;12500;6,9;71960000000;16664106;21354499;447;0,5;31,41;2512,17;0,58;0,75;0,0005
VIETNAM;EAST ASIA;331210;98721275;14,5;74,4;2,1;6900;3,11;1,432E+11;138256733;68267875;26;2,3;298,06;1450,55;1,4;0,69;0,0001
VIRGIN ISLANDS;CENTRAL AMERICA;1910;106235;12,1;79,8;NA;37000;10,4;654700000;NA;68872;NA;NA;55,62;6162,75;NA;0,65;NA
WALLIS AND FUTUNA;AUSTRALIA & OCEANIA;142;15854;12,7;80,2;NA;3800;8,8;NA;NA;345;NA;NA;111,65;NA;NA;0,02;NA
WEST BANK;MIDDLE EAST;5860;2900034;25,2;75,9;NA;4300;27,9;6489000000;4135363;2673000;NA;NA;494,89;2237,56;1,43;0,92;NA
WESTERN SAHARA;AFRICA;266000;652271;28;64,5;NA;2500;NA;0;NA;NA;NA;NA;2,45;0;NA;NA;NA
YEMEN;MIDDLE EAST;527968;29884405;25,8;66,9;17,1;2500;27;3681000000;16158028;7659884;NA;3,98;56,6;123,17;0,54;0,26;NA
ZAMBIA;AFRICA;752618;17426623;40,4;53,6;8,1;4000;15;11040000000;16322168;2351646;3126;1,2;23,15;633,51;0,94;0,13;0,0042
ZIMBABWE;AFRICA;390757;14546314;33,6;62,3;15,5;2300;11,3;7118000000;12863830;3796618;3427;1;37,23;489,33;0,88;0,26;0,0088
