a	b	c	d	e	f	g	h	y
-.0460626	.0308279	1	2.933344	0	.7021706	14.49904	10.29731	1.652577
.7610562	-.5177003	1	.215536	3	.6849784	7.888529	-.9112077	-1.32111
.862316	1.909059	1	15.21052	8	.7616608	4.550371	-1.405129	4.343578
-.1632559	4.124241	1	1.493935	1	.8952878	2.230072	-.9003582	6.480474
.6002812	.5197626	1	5.675086	3	.0920202	9.091417	-1.062043	1.257563
.2913818	1.74564	1	3.76403	3	.8342786	6.21295	.6720091	2.212049
-.2208314	-.5710768	0	2.209962	13	.2728288	12.10407	-3.025813	-1.542779
-.6876032	2.332356	0	1.380813	3	.3441528	17.95437	.2430423	4.067268
.3248861	.8112411	0	4.052851	5	.9377387	3.506117	-1.416856	1.484257
-.4583946	-.4517764	1	.9930288	2	.1922029	19.97902	-1.13751	-.7904031
-.9902801	.6097926	0	1.387814	4	.279403	18.90521	-1.534026	.8031354
-1.180479	.6026441	0	2.206328	0	.4025352	7.185488	1.882134	-1.371467
-.2502932	4.244781	1	5.120406	2	.0577217	6.470126	-.1226353	9.693542
-1.576021	2.432997	0	2.491522	7	.1680675	8.355426	-1.011325	3.82481
.1509138	2.666095	1	8.825453	6	.2713961	4.284904	.2934741	6.63541
.2226478	.2620367	1	3.742534	2	.5029462	4.34574	-.5656111	2.183805
.0922124	-3.415885	0	4.938947	6	.845716	13.46203	-1.357847	-7.306297
.1009297	.5198737	1	9.248519	7	.9633421	7.525823	-.8248975	-.0105544
.1000848	.3305815	1	3.292063	5	.8156902	19.4325	1.95506	1.641973
.9398682	1.597193	0	4.371008	2	.9918367	5.712953	-.0472399	3.903278
-.2848455	-.4158598	1	2.743395	2	.9385281	10.58179	.198413	-1.291672
2.136075	.7704477	1	2.068185	5	.3211156	6.635099	.9472672	5.110837
-.0971287	1.648935	1	5.503585	3	.9214921	5.307162	1.447574	3.339903
.2448826	2.61564	1	1.349837	2	.3311163	8.372135	-.1876825	4.881477
.9815377	2.635272	0	6.043746	5	.6743243	6.396706	1.753864	6.450609
-.3102989	.6913731	1	4.985443	5	.6908321	4.070966	1.052706	1.146491
-.7744201	2.131342	0	3.418818	1	.8143699	8.571396	-1.465832	3.23841
1.62172	2.70542	0	2.721305	1	.1873355	4.504643	.9582736	7.660939
.0506524	-1.972095	0	2.956289	4	.4572822	18.13125	-.237414	-5.070364
-.0495846	-.0681986	1	2.859906	6	.6647848	1.541258	-.2383843	1.377082
.6207317	-2.009957	0	12.5475	2	.81997	9.503888	-.4762089	-3.834848
.5656469	2.086789	1	4.030921	1	.9005097	8.540546	.2287093	5.407823
-1.410948	-2.889002	0	3.79005	5	.0965209	3.283292	-1.280182	-5.553297
-1.483447	2.312249	1	3.100833	5	.9111759	3.028524	.4109266	4.224836
.1231526	2.226572	1	4.048425	3	.3881003	5.635047	.6544621	3.378884
.1318701	-1.073452	0	3.092967	3	.2764124	2.876324	-.0312683	-1.904581
-.5513846	.5365218	1	1.388552	6	.5626736	10.66619	-.1039039	-1.82721
.3903461	3.107177	0	2.445333	5	.354713	8.885382	.0559572	6.538885
.7442589	-.6633633	1	2.038738	1	.561648	5.622315	-4.682375	.6905922
-.7280818	-.0662368	1	1.254327	9	.0480854	5.479949	.8541058	.1153848
.519384	2.416108	0	1.333136	4	.0191713	3.754315	-.3745599	4.224704
1.04848	-.5124782	0	.2693311	4	.0150513	4.15771	2.080503	.2084437
-.1717771	-.1610215	1	.485812	6	.272586	4.281895	3.293235	-1.436577
.8468291	.9752753	0	1.688399	3	.9149766	6.084409	-2.0322	3.107527
-.6588629	.6328312	0	11.70023	3	.9439834	8.944672	-.0150935	.1900067
-.0120603	3.722803	1	7.104352	6	.2961854	5.572684	-2.346702	8.73799
-.2273209	3.043302	0	6.222154	3	.6359888	14.6221	-.481401	6.05263
.3843958	.5106845	0	2.357934	4	.6181145	6.073339	.3065564	.9968525
.6578931	3.886336	0	2.591839	5	.3847345	12.37664	-.6418059	7.510839
-.3998818	4.596664	1	.3136144	5	.7329133	6.33549	-.7220481	9.055743
-.0570558	1.818101	1	.2879294	7	.6835098	13.49613	.2830805	3.981437
-.071301	5.259917	1	1.760081	3	.5324842	3.500677	-.144464	13.13425
-1.346596	-1.137668	1	5.557918	5	.6635242	8.757547	-.1655134	-4.184594
-1.613799	-1.055279	0	5.051502	3	.3929661	6.603636	-.7842262	-3.982368
.0046465	1.188762	0	4.532848	7	.2077659	5.369285	.6059474	1.367864
.1917665	-3.229854	0	3.355586	3	.3846956	7.58248	-1.752007	-6.41433
-.0458702	-.6301264	0	4.218083	5	.7782311	10.09083	-.7145624	-1.326437
.2232178	-2.152755	1	3.706346	4	.1859837	9.789553	.1890025	-4.281322
.511095	.7135859	1	.4739272	3	.799605	5.477862	-1.06794	1.321304
1.892978	-.2355539	0	4.522746	4	.9328056	16.11534	-.5790193	2.327928
1.330781	1.107663	0	1.031765	9	.4978335	10.42046	.4245393	3.927193
.5322794	-1.695889	0	8.774686	5	.7908541	3.255253	-1.797312	-2.103037
.4609152	1.757008	0	4.68976	4	.0604738	2.964668	-2.748401	3.71263
1.700138	2.546318	1	2.670683	7	.0078218	7.815088	-1.231721	7.655137
-.1463113	.3279596	0	8.503167	4	.4577673	29.5477	.3327562	.3313595
.041096	1.499157	1	2.746472	5	.1695172	10.29004	-1.381146	3.804537
-1.070596	-1.17228	1	.4348828	6	.4815246	18.25022	-1.307241	-3.314268
-.1749803	3.213121	1	2.880351	4	.8209466	5.952521	1.039098	7.175699
1.925369	1.266564	0	2.295966	7	.460995	5.732466	.4357923	5.375465
-2.768309	1.663832	0	1.150569	6	.3289611	10.13663	-2.894525	1.086368
1.579867	.5037797	0	2.393604	9	.6630592	10.61513	-1.282594	2.238774
-.8728904	.4160183	1	1.469206	5	.8855376	7.057429	-1.121171	.3571755
-.0419233	1.960537	1	4.077893	3	.1373778	3.617804	.4312352	4.368783
.3404389	.0106944	1	3.963829	3	.6491332	18.14744	-1.693162	.6329138
1.875566	2.3688	0	8.007198	4	.6060791	8.000462	.3126452	7.492614
-1.14402	3.973548	0	6.43382	5	.5285499	9.486544	-.0270997	5.886213
1.617397	2.375508	0	4.047132	5	.5126377	9.362268	.922441	7.211688
-.7513171	-1.43184	1	.8652631	1	.3928123	11.85704	.2069746	-4.796856
.4208706	1.733807	0	7.021672	6	.3757355	19.8938	.6689302	3.458396
.6919503	-1.970009	0	.9528944	6	.6084609	4.132758	.3024111	-2.91198
-.7335452	4.412539	1	2.338481	2	.805985	11.24463	-.6475811	9.838881
-1.14506	-1.710656	0	1.337299	4	.6005429	5.012841	-.0261197	-6.130493
.7130898	.1447311	0	3.757831	3	.2779267	13.71241	-.7392879	.822126
-.7333998	3.250747	1	7.548295	3	.1136314	6.89397	-1.028072	6.294739
-1.551649	-1.904966	1	.9890544	3	.7504692	11.94494	1.365685	-4.987152
-.7833778	.8698913	0	8.216211	2	.2083505	1.806905	.3935098	2.373748
-.7113577	.0192653	1	2.87466	2	.529098	7.804418	-.7445938	-.9383581
-.0320987	-.9872864	0	4.586954	6	.5197069	6.716362	1.140434	-1.180982
-1.292501	.7752839	1	1.705653	7	.5850786	.9942197	-1.484325	-1.891518
.8745252	1.835031	0	4.015639	3	.8412427	6.922196	-.6891902	5.510961
.6459072	-.0256613	0	9.138727	2	.3822831	8.63485	-2.617286	-.5066325
.6087984	-2.432745	1	2.086914	3	.5250586	3.407433	1.028084	-3.907611
-.4677888	2.980573	0	1.73246	8	.2417483	6.803194	.0228081	7.343582
-.9683754	1.864364	1	1.243769	1	.6711947	3.620071	-.5937933	2.307607
.1907486	.6802564	0	2.226315	4	.7054633	7.577837	-.2528976	1.647742
-1.291247	1.963554	1	3.51773	6	.3396128	7.81153	-.6825808	2.997912
1.441978	.5590047	0	3.135113	5	.7013811	15.61439	-.1961889	2.150694
-.1446344	.9324313	1	2.880677	5	.9617587	3.669767	-.1630796	1.325082
.7115691	-.2336753	1	2.278561	5	.9447877	5.729284	-.0163899	1.195775
1.077635	2.587861	1	1.743629	4	.223188	14.83835	.0168082	4.97647
-.8337385	-.5356224	1	3.035445	6	.1047274	8.21691	-.5257812	-1.893948
.3482048	2.962789	1	1.380897	6	.1782141	9.017878	-.2940224	5.583191
1.092122	.0066376	1	8.005033	4	.1346943	5.869006	-.859898	-.0728663
.2512711	.2912684	1	3.324325	2	.623657	3.440487	-1.921914	.2145255
-.7102432	1.391149	0	.7118322	0	.4331148	2.616925	-.0848001	2.693238
-.1598949	-1.047061	0	2.523653	5	.4102606	17.66635	-1.751392	-1.292152
1.155921	.6580073	1	1.560982	2	.9803914	10.67333	.0505913	1.957316
-1.420125	-1.509317	1	7.97345	4	.3379811	6.081128	.7859882	-4.202149
.0369669	1.445446	0	.8522018	3	.0580785	14.35227	2.345958	5.10168
.467805	-.3613822	0	6.391196	5	.0868176	4.801641	-1.053936	-.8798754
-1.488773	.3557985	1	2.453339	1	.7098194	8.651878	.4250155	-.8588547
.1803309	2.81162	0	4.165857	5	.6878955	6.219972	.0458282	6.125671
-.1887162	.7303396	0	5.892384	2	.2060681	6.502107	-.8312746	2.576652
-.8455482	-3.754342	1	5.487425	6	.3785923	7.231077	-1.506799	-9.191466
1.726927	-4.52404	1	1.934292	1	.4036739	4.00505	-1.12448	-7.0719
-.5979623	1.264425	0	2.028885	2	.7332071	4.620915	-1.390228	2.660752
-.0028362	-.9051751	0	5.030188	4	.4016295	10.46934	.8684829	-1.927379
1.035826	3.395069	0	9.071261	3	.3006966	15.50588	-.0302941	8.085089
.2362906	-1.055801	1	1.593938	3	.4805684	4.953017	-1.122197	-3.78785
.6060732	6.050918	0	2.837125	0	.2854294	2.832044	-.3000634	13.29329
1.282696	-1.338024	1	2.116758	4	.0730062	5.08228	-1.549399	-.8938856
-.2500401	1.229838	0	3.280346	6	.316404	6.302081	-.2329194	1.867571
-.4827638	3.444792	1	5.893261	7	.8601344	7.423674	-.6016483	6.306781
-1.482909	-2.108718	1	3.970991	4	.4698382	4.075295	-.5887206	-6.022769
-1.189311	1.338105	0	6.137133	4	.3902026	8.836209	-.4147043	3.518044
.2256928	2.238283	1	4.454577	5	.2682322	7.13263	-.5077844	4.06511
-.6726233	3.069023	1	4.480457	8	.4994721	5.33903	-1.948856	5.447205
.3647718	.1284898	0	1.223105	3	.6593201	12.25298	-.4286306	2.746087
.3800467	1.041588	0	3.241528	4	.6390699	3.727199	.5030978	2.820942
-1.322664	.2180075	0	7.521768	4	.0319595	25.68627	-1.018368	-.6561412
-1.201436	2.676777	0	.5585587	2	.3765907	9.243973	.7521097	4.69021
.8153715	5.013045	0	1.216779	4	.8318115	8.480293	1.999506	9.62127
-.4724619	1.913942	0	3.694782	0	.7635333	6.591478	.5318336	3.970099
.0444295	-.3201826	0	3.374639	5	.5714487	3.895869	1.025748	-.6988686
-1.098764	4.464404	1	2.717375	2	.9885186	5.080513	.4101824	6.821038
-.0973542	1.367399	1	3.108442	4	.4884026	6.116992	.5303428	1.409557
.0986088	.8110182	1	2.368701	3	.4011553	14.86286	-1.038032	1.763554
.9700507	3.474977	0	1.144602	4	.4629122	5.349884	-.2255253	6.573277
-.5922835	.2073881	1	4.9507	5	.2663237	11.82191	-.7744644	2.111614
.3964604	2.567633	0	2.124104	2	.446481	14.16907	-.017331	3.779007
-.3023429	.6242808	0	.7114127	0	.7463084	11.67731	.8236577	.3471424
.2358694	1.651154	1	4.42731	3	.778757	3.241818	-2.545313	4.069716
-1.593387	-.8899439	0	1.390931	3	.4418547	7.18019	.263485	-4.420681
-.0343975	-.2610212	1	3.453867	2	.2295682	3.90773	.5110114	1.276537
-.1058547	-1.400713	0	3.455515	2	.3726636	11.49826	.2723562	-2.942872
-.5335519	1.645938	1	3.002337	2	.1515471	2.829018	.5091619	1.434802
1.496105	2.131846	0	2.196057	4	.4566527	10.37949	-.8317389	3.585624
.4262308	4.773147	0	6.964816	3	.7104506	12.94499	.8827578	9.807686
-.1862901	-.3685097	1	2.907012	5	.0352051	17.67674	.0401436	-1.774166
-.5590256	2.770668	1	2.330911	6	.8228204	24.27643	-.2315186	4.519307
.6652241	3.799176	0	2.500845	5	.8246623	5.185709	1.397282	8.218822
-.4265276	-.3665986	0	1.876728	7	.7045096	6.510503	-.9721096	-1.555406
-.8521944	1.749459	0	5.879748	3	.3885295	4.416365	.400213	2.781281
-.0752461	-2.521514	0	9.09399	3	.0190119	9.72416	-.7226812	-4.76247
.5037636	1.776249	0	4.257529	1	.5629937	6.917098	-.7621021	3.078536
