s77,s78,s79,s80,s81,s82,s83,b77,b78,b79,b80,b81,b82,b83,is77,is78,is79,is80,is81,is82,is83,ia77,ia78,ia79,ia80,ia81,ia82,ia83,r77,r78,r79,r80,r81,r82,r83,rating83,rating83c,dia
1035989,1132350,1196343,1263721,1536807,1851776,1973485,.89999998,.89999998,.85000002,.94999999,1.05,1,1.05,.58629966,2.7456174,4.4583368,5.2941275,4.9487672,5.151001,6.0094705,.99028301,4.7891998,7.5721912,8.7046185,8.7979708,10.738325,12.618703,4,4,4,4,4,4,4,4,BA_B_C,1.8803778
978692,1107128,1208061,1159863,1226514,1098597,1167652,1.1,1.1,1,1,.89999998,.75,.69999999,11.341055,10.624426,9.0571585,5.1404347,3.5661232,4.2879238,7.3959537,17.015842,16.218594,12.953606,6.5965142,4.8980613,5.6733003,10.304067,0,0,0,0,0,0,0,0,AAA,4.6307664
1176882,1398032,1525379,1474371,1491172,1324838,1611071,.89999998,.89999998,.94999999,1,1,.94999999,.94999999,10.685098,15.724104,15.753331,11.946179,8.8502865,5.2463775,9.8171339,14.035822,21.852167,22.939901,15.808071,11.524064,6.1214876,13.247291,2.1211069,2.0475359,2.0475249,2.0475142,2.0525041,2.0524917,2.0524797,2,AA_A,7.125803
2352753,2829299,3305200,3653200,3481101,2980901,3340801,1.25,1.3,1.25,1.35,1.3,1.15,1.05,8.0014772,10.483162,10.767881,9.8324757,5.842979,.89905703,-4.0768666,7.6450405,10.949906,12.175434,11.596823,6.1645684,.8011716,-4.135417,5,5,5,5,5,5,5,5,BA_B_C,-4.9365888
63175,83067,111695,114562,167239,115376,108397,.88,1.2,1.24,1.1900001,2.0799999,.56,.98000002,9.6367235,10.453008,10.025516,7.8743386,8.3604898,-6.0307169,-16.405436,10.421445,10.41177,12.298467,9.4553804,8.0324926,-3.8754594,-13.080159,0,0,0,0,0,0,0,0,AAA,-9.2046995
95504,123017,170630,216076,185091,174790,139683,.63999999,.51999998,.94,.73000002,1.08,1.14,1.24,8.6509466,8.7329397,6.8774543,5.8294306,8.0933161,8.7533607,6.7502847,8.9403009,10.263392,8.5909014,8.4341621,8.5661678,9.688695,5.9864006,0,0,0,0,0,0,0,0,AAA,-3.7022943
974352,1105818,1282069,1338499,1427158,1014361,937320,.85000002,.89999998,.85000002,.85000002,.89999998,.80000001,.80000001,15.068476,15.775109,14.122251,13.102737,13.137228,-1.8381031,.66935515,18.835367,20.206463,19.201899,17.052963,17.02231,-1.8373803,.56638503,0,0,0,0,0,0,0,0,AAA,2.4037652
672575,756288,941602,900401,817862,691399,742572,1,.94999999,.85000002,.94999999,.75,.75,.80000001,9.1194286,9.9852171,9.3710508,8.6444817,10.299048,7.2019196,9.0523205,15.777979,15.556659,15.406804,14.060502,15.102811,10.813264,13.707234,4,4,0,0,0,0,0,0,AAA,2.8939705
254687,379948,507483,653887,736872,805910,828904,1.85,1.85,1.7,1.7,1.3,1.2,1.3,21.637148,21.793772,19.505678,17.074968,13.011758,6.8662753,7.014081,20.162155,23.735746,21.125418,17.376965,13.342666,7.0358801,6.881402,4,4,4,4,4,4,4,4,BA_B_C,-.15447807
688424,787036,808213,818301,880493,820180,906745,.94999999,.94999999,1,1.05,.94999999,.94999999,1.05,14.132134,14.358174,14.37814,9.6388741,12.555466,6.1360922,9.2877274,14.534847,14.755755,11.873845,7.703043,9.3187418,4.2803111,7.284976,0,0,0,0,4,4,4,4,BA_B_C,3.0046649
719979,883843,1073634,1396225,1671837,1673604,1602825,1.3,1.35,1.25,1.5,1.35,1.35,1.35,6.011981,8.3024921,9.7717657,8.6231804,8.9698334,6.9749475,5.3265328,8.9958372,13.336374,16.320768,15.346582,17.294645,12.693005,8.7679033,5,5,5,5,5,5,5,5,BA_B_C,-3.9251013
1996238,2300054,2498260,2714070,2818798,2555949,2774578,1.05,1.1,1.1,1.1,1.1,1,1.1,9.1514139,11.318386,11.539672,11.405049,8.2002325,3.7129457,7.0886455,9.478138,12.330913,10.834566,11.64646,8.3625536,3.3273599,6.8289819,3,3,3,3,3,3,3,3,BAA,3.501622
